PID,PID,condition
a7k7,a7k7,Hoshida_C2
a7k8,a7k8,Hoshida_C2
a7m5,a7m5,normal
a7m6,a7m6,Hoshida_C2
a7m7,a7m7,normal
a7m8,a7m8,normal
a7m9,a7m9,Hoshida_C2
a7mb,a7mb,normal
a7mc,a7mc,normal
a7md,a7md,normal
a7me,a7me,Hoshida_C2
a7mf,a7mf,Hoshida_C2
a7px,a7px,Hoshida_C2
a7py,a7py,Hoshida_C2
a7pz,a7pz,Hoshida_C2
a7s9,a7s9,Hoshida_C2
a7sb,a7sb,normal
a7sf,a7sf,normal
a7sk,a7sk,normal
a7xp,a7xp,normal
a82e,a82e,Hoshida_C2
