PID,PID,condition
a5mz,a5mz,normal
a5n0,a5n0,Hoshida_C3
a5no,a5no,Hoshida_C3
a5np,a5np,normal
a5nq,a5nq,normal
a5rf,a5rf,normal
a5rg,a5rg,normal
a5si,a5si,Hoshida_C3
a5sj,a5sj,normal
a5sl,a5sl,Hoshida_C3
a5sm,a5sm,normal
a5uc,a5uc,normal
a5ud,a5ud,normal
a5ue,a5ue,normal
a5w4,a5w4,Hoshida_C3
a627,a627,normal
a66x,a66x,normal
a66y,a66y,normal
a69h,a69h,normal
a69i,a69i,Hoshida_C3
a6g5,a6g5,normal
a6gg,a6gg,Hoshida_C3
a6m3,a6m3,normal
a6m4,a6m4,Hoshida_C3
a6m5,a6m5,normal
a6m6,a6m6,normal
a6uc,a6uc,Hoshida_C3
a73a,a73a,Hoshida_C3
a73b,a73b,Hoshida_C3
a73c,a73c,Hoshida_C3
a73d,a73d,Hoshida_C3
a73e,a73e,Hoshida_C3
a73f,a73f,Hoshida_C3
a73g,a73g,normal
a75c,a75c,normal
a75e,a75e,normal
a75g,a75g,Hoshida_C3
a75h,a75h,Hoshida_C3
a75i,a75i,Hoshida_C3
a75v,a75v,normal
a7b7,a7b7,Hoshida_C3
a7d4,a7d4,normal
a7if,a7if,Hoshida_C3
a7ig,a7ig,normal
a7ih,a7ih,Hoshida_C3
a7ii,a7ii,normal
a7ij,a7ij,normal
a7ik,a7ik,Hoshida_C3
a7il,a7il,Hoshida_C3
a7k0,a7k0,Hoshida_C3
a7k7,a7k7,normal
a7k8,a7k8,normal
a7m5,a7m5,Hoshida_C3
a7m6,a7m6,normal
a7m7,a7m7,normal
a7m8,a7m8,Hoshida_C3
a7m9,a7m9,normal
a7mb,a7mb,Hoshida_C3
a7mc,a7mc,Hoshida_C3
a7md,a7md,Hoshida_C3
a7me,a7me,normal
a7mf,a7mf,normal
a7px,a7px,normal
a7py,a7py,normal
a7pz,a7pz,normal
a7s9,a7s9,normal
a7sb,a7sb,Hoshida_C3
a7sf,a7sf,Hoshida_C3
a7sk,a7sk,Hoshida_C3
a7xp,a7xp,normal
a82e,a82e,normal
